retailer,month,revenue,gmv,margin,cpa_in,transactions,cb_total
Hebe,202509,3.93,63.89,0.0,6.1,1,3.93
Hebe,202510,6.36,103.33,-6.58,6.2,3,12.94
Hebe,202511,9.41,153.03,-2.27,6.1,3,11.68
Hebe,202512,22.76,370.24,-17.62,6.1,18,40.39
Hebe,202601,15.65,254.5,-8.88,6.1,11,24.53
Hebe,202602,13.62,221.55,2.54,6.1,11,11.08
Hebe,202603,26.91,414.06,-16.71,6.5,19,43.62
Hebe,202604,16.83,258.89,-25.33,6.5,12,42.16
Hebe,202605,6.33,97.54,1.12,6.5,4,5.21
Homla,202511,10.85,226.04,0.0,4.8,1,10.85
Homla,202512,0.67,14.02,-0.0,4.8,1,0.68
Homla,202601,1.04,21.53,0.0,4.8,2,1.03
Homla,202603,8.18,170.46,0.06,4.8,4,8.12
Homla,202604,4.06,84.55,-0.02,4.8,1,4.08
Homla,202605,1.55,32.38,-0.0,4.8,1,1.55
Huawei,202602,6.37,165.83,0.58,3.8,1,5.79
Intymna,202605,1.45,23.46,0.42,6.2,1,1.03
JD Sports,202512,3.85,38.52,-1.93,10.0,1,5.78
JD Sports,202601,5.09,127.2,0.0,4.0,1,5.09
JD Sports,202603,0.53,6.67,0.0,8.0,1,0.53
JD Sports,202604,9.39,187.76,0.0,5.0,1,9.39
Joom,202603,5.19,53.03,0.0,9.8,5,5.19
Joom,202605,1.58,16.2,0.12,9.8,1,1.46
KFC,202512,2.54,45.95,-0.0,5.5,3,2.54
KFC,202601,4.5,81.38,0.0,5.5,4,4.5
KFC,202602,2.29,41.37,0.0,5.5,3,2.29
KFC,202603,1.33,24.05,-1.08,5.5,1,2.4
KFC,202604,1.8,32.52,0.5,5.5,2,1.3
Katalog Marzeń,202603,0.79,28.12,0.0,2.8,1,0.0
Katalog Marzeń,202604,1.43,51.1,0.0,2.8,1,1.43
Kazar,202512,400.66,6164.0,0.0,6.5,3,400.66
Kinguin,202510,0.83,41.49,-1.24,2.0,1,2.07
Kinguin,202511,0.66,32.54,-2.04,2.0,2,2.7
Kinguin,202512,0.68,32.87,-0.96,2.1,3,1.64
