date,retailer,igraal_slug,letyshops_rate,letyshops_rate_type,letyshops_boosted,letyshops_url
2026-07-12,Ucando,ucando,2.0,%,False,https://letyshops.com/pl/shops/ucando
2026-07-12,Udemy,udemy,6.5,%,False,https://letyshops.com/pl/shops/udemy
2026-07-12,Under Armour,under-armour,2.5,%,False,https://letyshops.com/pl/shops/under-armour-pl
2026-07-12,uPacjenta,upacjenta,,not_found,False,
2026-07-12,Van Graaf,vangraaf,4.5,%,False,https://letyshops.com/pl/shops/van-graaf-pl
2026-07-12,Vans,vans,,no cashback,False,
2026-07-12,Vasco Electronics,vascoelectronics,3.0,%,False,https://letyshops.com/pl/shops/vasco-electronics-pl
2026-07-12,Victoria's Secret,victorias-secret,2.5,%,False,https://letyshops.com/pl/shops/victorias-secret-pl
2026-07-12,VidaXL,vidaxl,2.5,%,False,https://letyshops.com/pl/shops/vida-xl
2026-07-12,Vision Express,visionexpress,4.2,%,False,https://letyshops.com/pl/shops/vision-express-pl
2026-07-12,Vobis,vobis,1.75,%,False,https://letyshops.com/pl/shops/vobis-pl
2026-07-12,Volcano,volcano,,no cashback,False,
2026-07-12,Wolt,wolt,,no cashback,False,
2026-07-12,Wrangler,wrangler,5.0,%,False,https://letyshops.com/pl/shops/wrangler-pl
2026-07-12,x-kom,x-kom,0.65,%,False,https://letyshops.com/pl-en/shops/x-kom-pl
2026-07-12,Xiaomi,mi,3.75,%,False,https://letyshops.com/pl/shops/xiaomi-pl
2026-07-12,xlmoto,xlmoto,,not_found,False,
2026-07-12,Yanosik,yanosik,2.5,%,False,https://letyshops.com/pl/shops/yanosik-pl
2026-07-12,Yope,yope,4.5,%,False,https://letyshops.com/pl/shops/yope-pl
2026-07-12,Yves Rocher,yves-rocher,2.5,%,False,https://letyshops.com/pl/shops/yves-rocher-pl
2026-07-12,Zalando,zalando.pl,,no cashback,False,
2026-07-12,Znak,znak,1.5,%,False,https://letyshops.com/pl/shops/znak
2026-07-12,zooplus,zooplus,1.5,%,False,https://letyshops.com/pl/shops/zooplus-pl
2026-07-12,Zwieger,zwieger,2.0,%,False,https://letyshops.com/pl/shops/zwieger-pl
2026-07-12,24mx,24mx,2.5,%,False,https://letyshops.com/pl/shops/24mx-pl
2026-07-12,4kidspoint,4kidspoint,1.75,%,False,https://letyshops.com/pl/shops/4kidspoint-pl
